"id"	"name"	"office"	"sex"	"age"	"height"	"weight"
"1"	"Alex"	"Main Office"	"M"	"42.0"	"74.0"	"170.0"
"2"	"Bert"	"Main Office"	"M"	"43.0"	"68.0"	"166.0"
"3"	"Carl"	"Main Office"	"M"	"33.0"	"70.0"	"155.0"
"4"	"Dave"	"Main Office"	"M"	"40.0"	"72.0"	"167.0"
"5"	"Elly"	"Main Office"	"F"	"31.0"	"66.0"	"124.0"
"6"	"Fran"	"Main Office"	"F"	"34.0"	"66.0"	"115.0"
"7"	"Gwen"	"Main Office"	"F"	"27.0"	"64.0"	"121.0"
"8"	"Hank"	"Main Office"	"M"	"31.0"	"71.0"	"158.0"
"9"	"Ivan"	"Main Office"	"M"	"54.0"	"72.0"	"175.0"
"10"	"Jake"	"Main Office"	"M"	"33.0"	"69.0"	"143.0"
"11"	"Kate"	"Main Office"	"F"	"48.0"	"69.0"	"139.0"
"12"	"Luke"	"Main Office"	"M"	"35.0"	"72.0"	"163.0"
"13"	"Myra"	"Main Office"	"F"	"24.0"	"62.0"	"98.0"
"14"	"Neil"	"Main Office"	"M"	"37.0"	"75.0"	"160.0"
"15"	"Omar"	"Main Office"	"M"	"39.0"	"70.0"	"145.0"
"16"	"Page"	"Main Office"	"F"	"32.0"	"67.0"	"135.0"
"17"	"Quin"	"Main Office"	"M"	"30.0"	"71.0"	"176.0"
"18"	"Ruth"	"Main Office"	"F"	"29.0"	"65.0"	"131.0"
