Name Sex Age Height(in) Weight(lbs)
Alex M 42 74 170
Alex M 42 74 170
Bert M 43 68 166
Alex M 42 74 170
Bert M 43 68 166
Carl M 33 70 155
Alex M 42 74 170
Bert M 43 68 166
Carl M 33 70 155
Dave M 40 72 167
Alex M 42 74 170
Bert M 43 68 166
Carl M 33 70 155
Dave M 40 72 167
Elly F 31 66 124
Alex M 42 74 170
Bert M 43 68 166
Carl M 33 70 155
Dave M 40 72 167
Elly F 31 66 124
Fran F 34 66 115
Alex M 42 74 170
Bert M 43 68 166
Carl M 33 70 155
Dave M 40 72 167
Elly F 31 66 124
Fran F 34 66 115
Gwen F 27 64 121
Alex M 42 74 170
Bert M 43 68 166
Carl M 33 70 155
Dave M 40 72 167
Elly F 31 66 124
Fran F 34 66 115
Gwen F 27 64 121
Hank M 31 71 158
Alex M 42 74 170
Bert M 43 68 166
Carl M 33 70 155
Dave M 40 72 167
Elly F 31 66 124
Fran F 34 66 115
Gwen F 27 64 121
Hank M 31 71 158
Ivan M 54 72 175
Alex M 42 74 170
Bert M 43 68 166
Carl M 33 70 155
Dave M 40 72 167
Elly F 31 66 124
Fran F 34 66 115
Gwen F 27 64 121
Hank M 31 71 158
Ivan M 54 72 175
Jake M 33 69 143
Alex M 42 74 170
Bert M 43 68 166
Carl M 33 70 155
Dave M 40 72 167
Elly F 31 66 124
Fran F 34 66 115
Gwen F 27 64 121
Hank M 31 71 158
Ivan M 54 72 175
Jake M 33 69 143
Kate F 48 69 139
Alex M 42 74 170
Bert M 43 68 166
Carl M 33 70 155
Dave M 40 72 167
Elly F 31 66 124
Fran F 34 66 115
Gwen F 27 64 121
Hank M 31 71 158
Ivan M 54 72 175
Jake M 33 69 143
Kate F 48 69 139
Luke M 35 72 163
Alex M 42 74 170
Bert M 43 68 166
Carl M 33 70 155
Dave M 40 72 167
Elly F 31 66 124
Fran F 34 66 115
Gwen F 27 64 121
Hank M 31 71 158
Ivan M 54 72 175
Jake M 33 69 143
Kate F 48 69 139
Luke M 35 72 163
Myra F 24 62 98
Alex M 42 74 170
Bert M 43 68 166
Carl M 33 70 155
Dave M 40 72 167
Elly F 31 66 124
Fran F 34 66 115
Gwen F 27 64 121
Hank M 31 71 158
Ivan M 54 72 175
Jake M 33 69 143
Kate F 48 69 139
Luke M 35 72 163
Myra F 24 62 98
Neil M 37 75 160
Alex M 42 74 170
Bert M 43 68 166
Carl M 33 70 155
Dave M 40 72 167
Elly F 31 66 124
Fran F 34 66 115
Gwen F 27 64 121
Hank M 31 71 158
Ivan M 54 72 175
Jake M 33 69 143
Kate F 48 69 139
Luke M 35 72 163
Myra F 24 62 98
Neil M 37 75 160
Omar M 39 70 145
Alex M 42 74 170
Bert M 43 68 166
Carl M 33 70 155
Dave M 40 72 167
Elly F 31 66 124
Fran F 34 66 115
Gwen F 27 64 121
Hank M 31 71 158
Ivan M 54 72 175
Jake M 33 69 143
Kate F 48 69 139
Luke M 35 72 163
Myra F 24 62 98
Neil M 37 75 160
Omar M 39 70 145
Page F 32 67 135
Alex M 42 74 170
Bert M 43 68 166
Carl M 33 70 155
Dave M 40 72 167
Elly F 31 66 124
Fran F 34 66 115
Gwen F 27 64 121
Hank M 31 71 158
Ivan M 54 72 175
Jake M 33 69 143
Kate F 48 69 139
Luke M 35 72 163
Myra F 24 62 98
Neil M 37 75 160
Omar M 39 70 145
Page F 32 67 135
Quin M 30 71 176
Alex M 42 74 170
Bert M 43 68 166
Carl M 33 70 155
Dave M 40 72 167
Elly F 31 66 124
Fran F 34 66 115
Gwen F 27 64 121
Hank M 31 71 158
Ivan M 54 72 175
Jake M 33 69 143
Kate F 48 69 139
Luke M 35 72 163
Myra F 24 62 98
Neil M 37 75 160
Omar M 39 70 145
Page F 32 67 135
Quin M 30 71 176
Ruth F 29 65 131
